key,activenum,activityTimes,commission,des,dropItems,expStarLevel,levels,logoid,map,maxnum,name,rewardStarLevel,samenametype,targetmapid,targetPoint,type
128,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,40$49,2012,300,1,天师任务,3,5,300,188$162,2
129,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,50$59,2012,300,1,天师任务,3,5,300,188$162,2
130,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,60$69,2012,300,1,天师任务,3,5,300,188$162,2
131,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,70$79,2012,300,1,天师任务,3,5,300,188$162,2
132,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,90$100,2012,300,1,天师任务,3,5,300,188$162,2
133,0,全天,0,扫荡威胁轩辕城的妖魔鬼怪，帮助轩辕霸来拯救轩辕城，每完成10次可获得赦免令一枚。,19000691,3,50$57,0,300,30,扫荡任务,1,6,300,193$122,2
134,0,全天,0,扫荡威胁轩辕城的妖魔鬼怪，帮助轩辕霸来拯救轩辕城，每完成10次可获得赦免令一枚。,19000691,3,58$65,0,300,30,扫荡任务,1,6,300,193$122,2
135,0,全天,0,扫荡威胁轩辕城的妖魔鬼怪，帮助轩辕霸来拯救轩辕城，每完成10次可获得赦免令一枚。,19000691,3,66$73,0,300,30,扫荡任务,1,6,300,193$122,2
1,0,周六20:00~20:30,0,全服战力排行前32名的玩家可参与此活动，获胜后将会获得荣誉称号和稀有奖励物品,13130011$14000421$14000521$14000821$13070021$13070031,0,30$100,2029,0,0,天下武道会,5,57,300,0$0,3
2,0,周二、四20:00~20:30,0,总积分排行前3的仙门和国王仙门可进入人皇之战，获胜仙门帮主成为王者至尊，并有丰厚奖励。,19000590$19050031,0,30$100,0,1601,0,人皇之战,5,17,300,30$30,3
3,0,周日20:00~20:30,0,争夺水晶矿，为你的仙门尽一份力吧，参与者可获得丰厚的奖励！,10040101$10040201$10040301$10040401$10040501$13120011,4,30$100,2027,6002,1,仙门夺旗,4,16,300,30$30,3
140,10,全天,0,环式的仙门任务可以提供经验奖励以及门贡，还有机会获得尘逝砂道具来加速仙门升级。,19000521,2,30$100,0,300,10,仙门任务,2,7,300,187$146,2
5,5,19:10~19:25,0,参加活动可获得大量经验奖励。答题中掌握技巧能让你获得更高奖励。,,1,35$100,2015,0,1,博古通今,2,10,0,0$0,3
6,5,13:00~13:05、16:00~16:05、19:00~19:05、22:00~22:05,0,等级35级以上的玩家，每天有四次到城主轩辕泰处去接取限时任务，完成后获得海量经验奖励。,,4,35$100,1023,300,4,帝都危机,4,11,300,207$152,3
7,10,19:45~20:00,0,活动时间内进入仙门驻地，吸取仙门驻地的灵气，击杀蟠桃怪可获得大量经验及灵力。,,2,35$100,2013,5006,1,蟠桃盛宴,4,12,300,187$146,3
1002,0,,0,,19000301^10$19000491^10$13050011^5$14000411^5$19000461^5$13010021^5$13030021^5$13120011^3$13040021^4$19010651^1,0,0$100,0,0,0,首冲礼包,0,29,0,0$0,5
9,0,16:10~16:55,0,镖行天下期间，运镖可获得双倍的经验和钱币奖励，可和仙门运镖叠加，建议镖行天下期间开启仙门运镖。,,4,40$100,2025,300,1,镖行天下,2,9,300,246$276,3
10,5,21:00~21:30,0,活动期间内进入温泉轻松获得经验及灵力，时不时的戏水和搓澡还可额外增加经验及灵力。,,3,40$100,2013,1203,1,仙境温泉,0,13,300,0$0,3
11,0,周日19:00~20:00,0,参与昆山斗法活动前十场无论胜负均可获得经验、荣誉及积分，积分靠前者可获得经验、荣誉、称号和物品奖励,10041201$10041202$10041203$10041204,3,45$100,2026,0,1,昆山斗法,4,15,300,0$0,3
12,10,21:40~22:00,0,击杀怪物或者玩家均可获得积分，积分靠前者可获得丰厚的经验、荣誉和物品奖励,10040801$10040901,3,50$100,2009,4000,1,降妖伏魔,4,14,300,50$50,3
4,10,20:30~20:55,0,击杀怪物或者玩家均可获得积分，积分靠前者可获得丰厚的经验、荣誉和物品奖励,10041001$10041101,3,35$100,2009,1601,1,斗战法会,4,40,300,20$30,3
150,0,全天,0,进入通灵道副本，找到(范无救)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,40$44,0,320,3,通灵试炼,2,10,300,51$127,2
151,0,全天,0,进入通灵道副本，找到(谢必安)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,45$49,0,320,3,通灵试炼,2,10,300,51$127,2
152,0,全天,0,进入通灵道副本，找到(牛头)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,50$54,0,320,3,通灵试炼,2,10,300,51$127,2
153,0,全天,0,进入通灵道副本，找到(马面)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,55$59,0,320,3,通灵试炼,2,10,300,51$127,2
154,0,全天,0,进入通灵道副本，找到(欲乐妖姬)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,60$64,0,320,3,通灵试炼,2,10,300,51$127,2
155,0,全天,0,进入通灵道副本，找到(修罗)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,65$69,0,320,3,通灵试炼,2,10,300,51$127,2
156,0,全天,0,进入通灵道副本，找到(花飘飘)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,51$127,0,320,3,通灵试炼,2,10,300,51$127,2
13,0,周一、三、五20:00~20:30,0,服务器开启15天后的首个周五开启此活动，排名靠前的玩家将可获得神器噬魂珠。,12501821$12501831$12501841$12501851$13070011$19000471,5,55$100,0,0,0,纵横九州,5,44,300,0$0,3
1001,0,,0,,24000017^5$24000018^1$24000022^2$24000020^3,0,0$100,2041,0,0,新手卡礼包,0,28,0,0$0,5
301,0,每天13:10和19:30开启,0,魔族圣王之一的禺狨王，赤目长尾，头似鬼怪，凶恶异常。,12350780$12350730$13110030$13110060$20000002$13010020$13030020$13040000,1,40$100,0,4101,0,驱神魔王,5,31,700,184$268,1
302,0,每天13:10和19:30开启,0,魔族圣王之一的猕猴王，来去飘忽，变化多端，能洞悉任何人的弱点。,12350880$12350980$12350830$12350930$13110030$13110060$20000002$13010020$13030020$13040000,1,45$100,0,4102,0,通风魔王,5,32,1300,298$251,1
303,0,每天13:10和19:30开启,0,魔族圣王之一的狮驼王，法力高强，擅五行之力，移山填海如同反掌。,12500180$12500380$12500580$12500280$12500480$12500680$12500780$20000005$13110030$13110060$20000002$13010020$13030020$13040000,1,50$100,0,4103,0,移山魔王,5,33,1400,149$46,1
304,0,每天13:10和19:30开启,0,魔族圣王之一的鹏魔王，乃大鹏金翅鸟所化，振翅能飞九万里。,12500880$12500980$13110040$13110070$20000002$13010020$13030020$13040000,1,55$100,0,4104,0,混天魔王,5,34,1400,259$156,1
305,0,每天13:10和19:30开启,0,魔族圣王之一的蛟魔王，有翻天覆海之能。,12600180$12600380$12600580$12600280$12600480$12600680$12600780$13110040$13110070$20000002$13010020$13030020$13040000$24080010,1,60$100,0,4105,0,覆海魔王,5,35,1400,175$273,1
306,0,每天13:10和19:30开启,0,魔族圣王之一的牛魔王，力大无穷。,12600880$12600980$12600830$12600930$20000006$13110040$13110070$20000002$13010020$13030020$13040000$24080010,1,65$100,0,4106,0,平天魔王,5,36,1500,137$37,1
307,0,每天13:10和19:30开启,0,传说中能识破人心的亘古魔王，最喜欢杀人诛心的手段。,12700180$12700380$12700580$12700280$12700480$12700680$12700780$13110050$13110080$20000002$13010030$13030030$13040000$24080010,1,70$100,0,4107,0,诛心魔王,5,37,1600,129$46,1
308,0,每天13:10和19:30开启,0,传说中擅阴谋诡计的亘古魔王，贪婪狡诈，狰狞凶残。,12700880$12700980$12700830$12700930$13110050$13110080$20000002$13010030$13030030$13040000$24080010,1,75$100,0,4108,0,阴毒魔王,5,38,600,32$165,1
309,0,每天13:10和19:30开启,0,魔中至尊，大自在天之主，是所有魔王中最恐怖的存在……,12800180$12800280$12800380$12800480$12800580$12800680$12800780$12800880$12800980$13110050$13110080$20000002$13010030$13030030$13040000$24080010,1,80$100,0,4109,0,大自在天,5,39,333,259$152,1
56,0,,0,,,0,30$100,0,300,0,中秋活动,0,30,300,237$196,6
58,10,全天,0,到轩辕城镖王“钱通神”处接镖，可获得丰厚的经验和钱币奖励，若开启仙门运镖后还可获得1.5倍经验奖励。,,4,45$100,0,300,5,镖师任务,3,8,300,246$276,2
200,10,全天,1,进入到幻兽天境副本，有机会获得可爱萌宠。（每日零点重置进入次数）,2060262,5,30$100,0,1100,3,幻兽境,0,17,300,196$291,4
201,10,全天,1,单人经验副本，杀死副本中的怪物可获得巨额经验。（每日零点重置进入次数）,,5,35$100,0,2001,3,传心阁,0,18,300,137$79,4
202,10,全天,1,单人副本，杀死副本中的怪物可获得稀有蓝色装备。（每日零点重置进入次数）,13090011$13110011$13110021$12351021$12351221$12351121$12351321$12351421$12351621$12351521$12351721$19000710$19030011$15000051,1,30$100,0,1001,3,幽谷道,4,19,300,149$93,4
203,5,全天,1,单人副本，击杀副本中的BOSS可获得蓝色装备和炼制紫装必备的道具，还有一定概率获得稀有紫装。,13090011$13110011$13110021$13110030$13110061$12350130$12350330$12350530$12350230$12350430$12350630$12350730$19000710$15000010$19030011$15000051,1,35$100,0,603,3,玉蛟宫（单）,5,20,300,128$88,4
204,10,全天,1,多人副本，击杀副本中的BOSS可获得蓝色装备和炼制紫装必备的道具。,13090011$13110011$13110021$13110061$13110071$13110031$13110041$19000710$15000010$19030010,1,55$100,0,502,3,诛魔台,5,21,300,148$66,4
205,0,全天,1,多人副本，击杀副本中的BOSS可获得蓝色装备和炼制紫装必备的道具。,13090011$13110011$13110021$13110061$13110071$13110081$13110031$13110041$13110051$19000710$15000010$19030010,1,65$100,0,1601,3,锁命塔,5,22,300,210$311,4
206,5,全天,1,单人副本，在规定时间内消灭怪物越多获得收益越大。（每天可进入2次）,14000001$19010511,1,40$100,0,1201,2,多宝阁,4,23,300,137$63,4
207,10,全天,0,单人副本，守护棋魂，根据玩家击退怪物波数领取奖励。每日零点重置进入次数。,13110030$13110040$13110050$13110060$13110070$13110080$13070010$14000810$14000510$14000610$14000710$14000110$14000210$14000310$14000410$19010370$13150010$19010121$19100010,2,35$100,0,320,2,通灵道,4,24,300,50$126,7
208,10,全天,0,多人挑战副本，最多可3人组队进入。（每日零点重置进入次数）,13040000$19010530$19010551$20000002$13110010$13110020$13110030$13110040$13110050$13110060$13110070$13110080$19100010,2,40$100,0,7001,2,寒风岭,4,25,300,53$152,7
209,10,全天,0,多人副本，建议5人组队，根据玩家击退怪物波数领取奖励。每日零点重置进入次数。,13110030$13110040$13110050$13110060$13110070$13110080$13070010$14000910$14001010$14001110$14001210$14001310$19010370$19010121$19100010,2,45$100,0,321,2,通灵谷,4,26,300,50$126,7
210,10,全天,0,多人挑战副本，建议组成5人队伍击杀。（每日零点重置进入次数）,13080010$13080020$13080030$13030020$12600130$12600230$12600330$12600430$12600530$12600630$12600730$14000910$14001010$14001110$14001210$14000920$14001020$14001120$14001220$13160011$13160020$13160030$22000000,2,50$100,0,8001,2,风啸岬,4,27,300,55$167,7
211,10,全天,1,多人副本，击杀副本中的BOSS可获得蓝色装备和炼制紫装必备的道具，还有一定概率获得稀有紫装。,13090011$13110011$13110021$13110030$13110061$12350180$12350380$12350580$12350280$12350480$12350680$19000710$15000010$19030010,1,40$100,0,605,2,玉蛟宫（精）,5,40,300,128$88,4
212,5,全天,1,单人副本，击杀副本中的BOSS可获得炼制紫装必备的道具，还有一定概率获得稀有道具。,22000001$13030021$13090011$13110011$13110021$13110030$13110061$19000710$15000010$14000001$19030011,1,45$100,0,801,3,绯红岭（单）,5,41,300,166$89,4
213,10,全天,1,多人副本，击杀副本中的BOSS可获得炼制紫装必备的道具，还有一定概率获得稀有道具。,22000001$13030021$13090011$13110011$13110021$13110030$13110061$19000710$15000010$14000001$19030010,1,50$100,0,802,2,绯红岭（精）,5,42,300,166$89,4
214,10,全天,0,单人挑战副本，过关后有机会获得橙装部件碎片等高级材料。,24010011$24030011$24030021$24030031$24030041$24030051$24050011$24050021$24050031$24050041$24040011,2,55$100,0,9101,3,伏魔域,4,50,300,32$133,7
215,0,全天,0,多人挑战副本，最多可4人组队进入。（每日零点重置进入次数）,13250011$13260021$13210021$13220011$13230011$13070011,2,65$100,0,9201,5,无尘境,4,51,300,42$99,7
101,0,全天,0,进入到幽谷道时，可留意妖磷石，采集取回1个妖磷石来换取大量经验。,,5,30$40,2011,300,3,妖磷石任务,0,1,300,213$124,2
102,0,全天,0,进入到幽谷道时，可留意妖磷石，采集取回1个妖磷石来换取大量经验。,,5,41$50,2011,1001,3,妖磷石任务,0,1,300,213$124,2
103,0,全天,0,进入到幽谷道时，可留意妖磷石，采集取回1个妖磷石来换取大量经验。,,5,51$100,2011,1001,3,妖磷石任务,0,1,300,213$124,2
104,0,全天,0,奖励丰厚的循环任务，每天可以完成5次。组队效率极高。,,4,35$44,2021,309,5,云中阁,1,2,309,93$92,2
105,0,全天,0,奖励丰厚的循环任务，每天可以完成5次。组队效率极高。,,4,45$54,2021,310,5,云中阁,1,2,310,93$92,2
106,0,全天,0,奖励丰厚的循环任务，每天可以完成5次。组队效率极高。,,4,55$64,2021,311,5,云中阁,1,2,311,93$92,2
107,0,全天,0,奖励丰厚的循环任务，每天可以完成5次。组队效率极高。,,5,65$74,2021,312,5,云中阁,0,2,312,93$92,2
108,0,全天,0,奖励丰厚的循环任务，每天可以完成5次。组队效率极高。,,5,75$84,2021,313,5,云中阁,0,2,313,93$92,2
109,0,全天,0,奖励丰厚的循环任务，每天可以完成5次。组队效率极高。,,5,85$94,2021,314,5,云中阁,0,2,314,93$92,2
110,0,全天,0,奖励丰厚的循环任务，每天可以完成5次。组队效率极高。,,5,95$100,2021,315,5,云中阁,0,2,315,93$92,2
111,0,全天,0,奖励丰厚的循环任务，还可通过(急急如律令)或(钱币)刷品质来提升任务奖励，每天可以完成10次。,,4,35$44,2011,300,10,风行任务,1,3,300,186$129,2
112,0,全天,0,奖励丰厚的循环任务，还可通过(急急如律令)或(钱币)刷品质来提升任务奖励，每天可以完成10次。,,4,45$54,2011,300,10,风行任务,1,3,300,186$129,2
113,0,全天,0,奖励丰厚的循环任务，还可通过(急急如律令)或(钱币)刷品质来提升任务奖励，每天可以完成10次。,,4,55$64,2011,300,10,风行任务,1,3,300,186$129,2
114,0,全天,0,奖励丰厚的循环任务，还可通过(急急如律令)或(钱币)刷品质来提升任务奖励，每天可以完成10次。,,4,65$74,2011,300,10,风行任务,1,3,300,186$129,2
115,0,全天,0,奖励丰厚的循环任务，还可通过(急急如律令)或(钱币)刷品质来提升任务奖励，每天可以完成10次。,,4,75$84,2011,300,10,风行任务,1,3,300,186$129,2
116,0,全天,0,奖励丰厚的循环任务，还可通过(急急如律令)或(钱币)刷品质来提升任务奖励，每天可以完成10次。,,4,85$94,2011,300,10,风行任务,1,3,300,186$129,2
117,0,全天,0,奖励丰厚的循环任务，还可通过(急急如律令)或(钱币)刷品质来提升任务奖励，每天可以完成10次。,,4,95$104,2011,300,10,风行任务,1,3,300,186$129,2
118,0,全天,0,海量金币的循环任务，需有悬赏令方可接取任务，每天最多可完成3次。,19000710,2,40$49,2011,300,3,赏善任务,5,4,300,200$176,2
119,0,全天,0,海量金币的循环任务，需有悬赏令方可接取任务，每天最多可完成3次。,19000710,2,50$59,2011,300,3,赏善任务,5,4,300,200$176,2
120,0,全天,0,海量金币的循环任务，需有悬赏令方可接取任务，每天最多可完成3次。,19000710,2,60$69,2011,300,3,赏善任务,5,4,300,200$176,2
121,0,全天,0,海量金币的循环任务，需有悬赏令方可接取任务，每天最多可完成3次。,19000710,2,70$79,2011,300,3,赏善任务,5,4,300,200$176,2
122,0,全天,0,海量金币的循环任务，需有悬赏令方可接取任务，每天最多可完成3次。,19000710,2,80$89,2011,300,3,赏善任务,5,4,300,200$176,2
123,0,全天,0,海量金币的循环任务，需有悬赏令方可接取任务，每天最多可完成3次。,19000710,2,90$99,2011,300,3,赏善任务,5,4,300,200$176,2
124,0,全天,0,海量金币的循环任务，需有悬赏令方可接取任务，每天最多可完成3次。,19000710,2,100$109,2011,300,3,赏善任务,5,4,300,200$176,2
127,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,30$39,2012,300,10,天师任务,3,5,300,188$162,2