key,daojushuliang,datupian,lianzhishijian,miaoshu,mingcheng,xiaotupian
1,0,heiming,1,具体来历不详，据传能吞噬一切火焰。,黑冥炉,heiming
2,10,wanshou,0.9,上古时期由人类著名匠师借助魔兽灵魂而打造成功。,万兽炉,wanshou
3,20,ziyuan,0.8,本是一块奇怪的紫色石头，经过吸收上千年的日月精华变成了鼎。,紫渊炉,ziyuan
4,40,longhun,0.7,相传上古时期由龙族帝王所造，蕴含着龙族精魄所在。,龙魂炉,longhun
5,70,hupo,0.6,据传是帝级魔兽白虎死后魂魄融入了石头中形成了此鼎。,虎魄炉,hupo
6,110,fengming,0.5,乃传说中的圣兽凤凰世代传承留下的精血经过上千年融合乳育而出。,凤鸣炉,fengming
7,160,shengyao,0.4,乃世界光明本源分化而出的极一小部分形成，与黑魔相对。,圣耀炉,shengyao
8,220,heimo,0.35,乃世界黑暗本源分化而出的极一小部分形成，与圣耀相对。,黑魔炉,heimo
9,290,yunxing,0.3,由一天外陨石经过高人打造从而形成此鼎。,陨星炉,yunxing
10,370,chiyan,0.25,乃一火山奇石，在岩浆中长时间打磨形成鼎。,炽炎炉,chiyan
11,460,jiulong,0.2,九条火龙化身龙魂，驻守炉中九个方位。,九龙炉,jiulong
12,560,bagua,0.15,分为吉位和八卦之位。聚集灵气在吉位，丹药可成。,八卦炉,bagua
13,670,hundun,0.1,乃开天辟地时乳育而出，与混沌圣焱同根而生。,混沌圣炉,hundun
14,790,dadizhiling,0.05,由大地自然的敷化形成的鼎，拥有浓郁的土之力。,大地之灵,dadizhiling
15,920,shenhaizhixin,0.01,本为海底一极度坚硬的珊瑚，经过大海的精华长期乳育从而变成鼎形。,深海之心,shenhaizhixin