key,chatid,classid,name,nextstep,quality_display,step
1,1029$1030$1003$1004$1025$1011,1,狼,2001,1,1
2,1031$1032$1016$1028$1021,1,斑斑鹿,2002,25,1
3,1043$1044$1008$1015$1018$1024$1027$1007,3,大力牛,2003,5,1
4,1037$1038$1022$1021$1015$1010,4,惠眼兽,2004,31,1
5,1035$1036$1001$1010$1011$1021,3,赤目,2005,33,1
6,1029$1030$1003$1004$1025$1011,1,凤凰,2006,4,1
7,1029$1030$1003$1004$1025$1011,1,玄武,2007,35,1
8,1047$1068$1027$1049$1005$1006,4,画狐,2008,18,1
9,1045$1046$1026$1023$1025$1026$1014,3,猎鹰,2009,9,1
10,1029$1030$1003$1004$1025$1011,2,松鼠,2010,81,1
23,1029$1030$1003$1004$1025$1011,1,香炉怪,2023,85,1
27,1029$1030$1003$1004$1025$1011,1,小狐狸,2027,89,1
31,1029$1030$1003$1004$1025$1011,1,熊猫,2031,15,1
4001,1029$1030$1003$1004$1025$1011,4001,狼,0,104,4
4002,1031$1032$1016$1028$1021,4001,斑斑鹿,0,98,4
4003,1043$1044$1008$1015$1018$1024$1027$1007,4003,大力牛,0,8,4
4004,1037$1038$1022$1021$1015$1010,4004,惠眼兽,0,113,4
4005,1035$1036$1001$1010$1011$1021,4003,赤目,0,100,4
4006,1029$1030$1003$1004$1025$1011,4001,凤凰,0,103,4
4007,1029$1030$1003$1004$1025$1011,4001,玄武,0,38,4
4008,1047$1068$1027$1049$1005$1006,4004,画狐,0,21,4
4009,1045$1046$1026$1023$1025$1026$1014,4003,猎鹰,0,12,4
4010,1029$1030$1003$1004$1025$1011,4002,松鼠,0,84,4
41,1029$1030$1003$1004$1025$1011,1,鹤,2041,108,1
4023,1029$1030$1003$1004$1025$1011,4001,香炉怪,0,88,4
3001,1029$1030$1003$1004$1025$1011,3001,狼,4001,3,3
3002,1031$1032$1016$1028$1021,3001,斑斑鹿,4002,26,3
4027,1029$1030$1003$1004$1025$1011,4001,小狐狸,0,92,4
3004,1037$1038$1022$1021$1015$1010,3004,惠眼兽,4004,32,3
3005,1035$1036$1001$1010$1011$1021,3003,赤目,4005,34,3
3006,1029$1030$1003$1004$1025$1011,3001,凤凰,4006,102,3
3007,1029$1030$1003$1004$1025$1011,3001,玄武,4007,37,3
3008,1047$1068$1027$1049$1005$1006,3004,画狐,4008,20,3
3009,1045$1046$1026$1023$1025$1026$1014,3003,猎鹰,4009,11,3
3010,1029$1030$1003$1004$1025$1011,3002,松鼠,4010,83,3
3003,1043$1044$1008$1015$1018$1024$1027$1007,3003,大力牛,4003,7,3
4031,1029$1030$1003$1004$1025$1011,4001,熊猫,0,107,4
4041,1029$1030$1003$1004$1025$1011,4001,鹤,0,111,4
3023,1029$1030$1003$1004$1025$1011,3001,香炉怪,4023,87,3
2001,1029$1030$1003$1004$1025$1011,2001,狼,3001,2,2
2002,1031$1032$1016$1028$1021,2001,斑斑鹿,3002,97,2
2003,1043$1044$1008$1015$1018$1024$1027$1007,2003,大力牛,3003,6,2
2004,1037$1038$1022$1021$1015$1010,2004,惠眼兽,3004,112,2
2005,1035$1036$1001$1010$1011$1021,2003,赤目,3005,99,2
2006,1029$1030$1003$1004$1025$1011,2001,凤凰,3006,101,2
2007,1029$1030$1003$1004$1025$1011,2001,玄武,3007,36,2
2008,1047$1068$1027$1049$1005$1006,2004,画狐,3008,19,2
2009,1045$1046$1026$1023$1025$1026$1014,2003,猎鹰,3009,10,2
2010,1029$1030$1003$1004$1025$1011,2002,松鼠,3010,82,2
3027,1029$1030$1003$1004$1025$1011,3001,小狐狸,4027,91,3
3031,1029$1030$1003$1004$1025$1011,3001,熊猫,4031,106,3
3041,1029$1030$1003$1004$1025$1011,3001,鹤,4041,110,3
2023,1029$1030$1003$1004$1025$1011,2001,香炉怪,3023,86,2
2027,1029$1030$1003$1004$1025$1011,2001,小狐狸,3027,90,2
2031,1029$1030$1003$1004$1025$1011,2001,熊猫,3031,105,2
2041,1029$1030$1003$1004$1025$1011,2001,鹤,3041,109,2