key,award_score,question_content,question_option,reading_time,right_answers
1,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《兰亭序》具有极高的艺术价值，它的作者是？,1^达芬奇$2^王羲之$3^丰子恺,20,2
2,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,中国第一个奴隶制度的王朝 ？,1^夏$2^商$3^周,20,1
3,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《三国演义》中的“凤雏”是？,1^诸葛亮$2^赵云$3^庞统,20,3
4,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“中国戏曲中的人物角色可分为生、旦、净、末、丑，以下哪一个是女角色的统称？,1^生$2^旦$3^丑,20,2
5,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,十面埋伏 所用的乐器是？,1^琵琶$2^古筝$3^钢琴,20,1
6,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,阿司匹林最初提取于？,1^杨柳树皮$2^唾液$3^动物粪便,20,1
7,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,普洱茶的产地在？,1^黑龙江$2^安徽$3^云南,20,3
8,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,以下不属于中草药的是？,1^当归$2^砖沫$3^鹿茸,20,2
9,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,下著作中，出自孙思邈之手的是？,1^本草纲目$2^千金方$3^水利枢纽,20,2
10,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,清代官服上绣有方形图案，成为“补子”，其中一品武官的补子图案是？,1^麒麟$2^仙鹤$3^朱雀,20,1
11,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,以下不是中国四大发明的是？,1^火药$2^印染$3^指南针,20,2
12,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,三国演义里“木牛流马”是谁制造的？？,1^赵云$2^张飞$3^诸葛亮,20,3
13,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,洛阳白马寺创建于那个时期？,1^东汉$2^北宋$3^元朝,20,1
14,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,皮影戏最早诞生在两千年前的西汉，“发祥于”中国哪个地区？,1^山西$2^浙江$3^陕西,20,3
15,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,太师椅最早的朝代？,1^唐朝$2^宋朝$3^清朝,20,2
16,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“包拯”脸上的印记是什么形状？,1^太阳$2^星星$3^月亮,20,3
17,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,清代官服上绣有方形图案，称为“补子”，其中三品文官的补子图案是？,1^大象$2^乌鸦$3^孔雀,20,3
18,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,月上柳梢头，人约黄昏后。写的是中国哪个传统节日？,1^元宵节$2^中元节$3^情人节,20,1
19,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,安徒生童话《海的女儿》里，小美人鱼变成人是为了见到谁？,1^女王$2^王子$3^公主,20,2
20,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,古代许多诗句中都有“折柳”二字，这是什么情况下的习俗？,1^定情$2^绝交$3^送别,20,3
21,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,传说中文字是谁发明的？,1^夷狄$2^神农$3^仓颉,20,3
22,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,按风俗，“腊八粥”应在阴历哪一天喝？,1^八月十五$2^一月初八$3^六月初八,20,2
23,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,流行歌曲《不想长大》是哪个组合演唱的？,1^SHE$2^五月天$3^哈狗帮,20,1
24,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,流行歌曲《听妈妈的话》是哪个歌手演唱的？,1^周杰伦$2^林俊杰$3^潘玮柏,20,1
25,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,古代用“沉鱼落雁，闭月羞花”形容女性之美，其中“沉鱼”是指？,1^王昭君$2^杨贵妃$3^西施,20,3
26,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“金屋藏娇”说的是哪一位皇帝？,1^刘彻$2^刘邦$3^刘墉,20,1
27,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,按照风俗习惯戒指带在无名指上表示？,1^订婚$2^恋爱中$3^已婚,20,3
28,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,在我国，“桃月”是指？,1^一月$2^二月$3^三月,20,3
29,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,按有关法律规定，经营者可以从事的抽奖式有奖销售，最高奖的奖金额的限度是？,1^500元$2^50元$3^5000元,20,3
30,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,白马寺在哪个地区？,1^北京$2^河南$3^河北,20,2
31,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,按照世界银行新的评价国家财富标准，人均最富的国家是？,1^瑞士$2^意大利$3^卡特尔,20,3
32,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,药酒是在哪个朝代之后出现的？？,1^唐朝$2^宋朝$3^清朝,20,1
33,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,三国演义中谁刮骨疗毒？,1^赵云$2^马超$3^关羽,20,3
34,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,我国最早的表演艺术是？,1^杂技$2^戏曲$3^魔术,20,1
35,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,天府之国是哪？,1^安徽$2^四川$3^浙江,20,2
36,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,沉鱼落雁闭月羞花中，闭月指谁？,1^貂蝉$2^西施$3^王昭君,20,1
37,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,清代官服上绣有方形图案，称为“补子”，其中一品文官的图案是？,1^凤凰$2^企鹅$3^仙鹤,20,3
38,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,红娘是哪部作品中的人物？,1^西厢记$2^西游记$3^东游记,20,1
39,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《西游记》中唐僧有几个徒弟？,1^1$2^2$3^3,20,3
40,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“名不正则言不顺”是哪家的思想？,1^儒家$2^墨家$3^法家,20,1
41,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“唐朝古琴有几根弦？,1^六根$2^七根$3^九根,20,2
42,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,奥运五环旗中的绿色环代表？,1^北美洲$2^欧洲$3^澳洲,20,3
43,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,笄礼是古代女子几岁成年的插笄仪式？,1^13岁$2^15岁$3^17岁,20,2
44,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《金刚经》是哪个教派的著作？？,1^道教$2^佛教$3^伊斯兰教,20,2
45,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“有教无类”是以下哪位提出的观点？,1^墨子$2^韩非子$3^孔子,20,3
46,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,巴金的作品有？,1^雷雨$2^家$3^狂人日记,20,2
47,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“不为五斗米折腰”的古代人物是？,1^陶渊明$2^诸葛亮$3^王羲之,20,1
48,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“我国第一个伟大的浪漫主义爱国诗人是？,1^李商隐$2^屈原$3^钟汉离,20,2
49,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,清代号雪芹所著的小说《红楼梦》最初时命名为？,1^《石头记》$2^《红灯梦》$3^《梦红楼》,20,1
50,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,祖冲之第一个把圆周率准确推算到小数点后第几位？,1^第四位$2^第七位$3^第十位,20,2
51,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北宋的两个著名词人晏殊和晏几道是什么关系？,1^父子$2^兄弟$3^表亲,20,1
52,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,清朝入关后的第一位皇帝是？,1^顺治$2^康熙$3^多尔衮,20,1
53,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,神医扁鹊是哪个朝代人？,1^秦朝$2^春秋战国$3^东汉,20,2
54,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,哪位君主采纳“废黜百家，独尊儒术”的建议答案:？,1^汉文帝$2^汉武帝$3^汉献帝,20,2
55,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,下列哪个不是元曲四大家是？,1^马致远$2^关汉卿$3^王安石,20,3
56,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,明朝开国皇帝是谁？,1^朱元璋$2^朱棣$3^朱允炆,20,1
57,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“二胡”是民间常见的拉弦乐器，它的琴弦数目是？,1^一根$2^两根$3^三根,20,2
58,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“大弦嘈嘈如急雨，小弦切切如私语”描述的是哪种乐器？,1^琵琶$2^古筝$3^二胡,20,1
59,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,福建名茶“大红袍”属于哪类茶？,1^绿茶$2^红茶$3^乌龙茶,20,3
60,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“白雪公主”这个形象最早来自于？,1^北欧神话$2^安徒生童话$3^格林童话,20,3
61,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,以下中药里，除了治病外，还有驱蚊功效的是？,1^艾草$2^人参$3^灵芝,20,1
62,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,白鳍豚用什么呼吸？,1^眼睛$2^肺$3^鼻子,20,2
63,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,下列具有疏散风热、清目醒脑作用的一味中草药是？,1^白芷$2^牛黄$3^薄荷,20,3
64,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,白种人眼珠呈蓝色是因为眼珠上的虹膜含有较少的什么物质？,1^黑色素$2^钙$3^锌,20,1
65,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“百会穴”在身体的哪个部位？,1^人中$2^咽喉$3^头顶正中,20,3
66,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,蜡染是哪个民族特有的印染工艺？,1^傣族$2^苗族$3^壮族,20,2
67,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,四羊方尊是哪个朝代的物品？？,1^商朝$2^周朝$3^明朝,20,1
68,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“红酥手，黄籘酒，满城春色宫墙柳”这一首词描写的是谁的爱情故事？,1^陆游$2^李白$3^李商隐,20,1
69,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“莫道不销魂，帘卷西风，人比（）瘦”括号内的文字是？,1^月季$2^黄花$3^玫瑰,20,2
70,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,词语芊芊代表什么颜色？,1^粉红色$2^翠绿色$3^浅黄色,20,2
71,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“身无彩凤双飞翼”的下一句是：？,1^忽如一夜春风来$2^心有灵犀一点通$3^落花时节又逢君,20,2
72,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“蜡烛有心还惜别 替人垂泪到天明”的作者是？,1^杜牧$2^杜甫$3^李白,20,1
73,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,保险责任开始后，投保人要求解除合同的，保险人可以？,1^违约$2^退险$3^收取部分保险,20,3
74,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《长恨歌》中“后宫佳丽三千人”的下句是？,1^三千宠爱在一身$2^杨家有女初长成$3^在天愿作比翼鸟,20,1
75,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,报道中有时会看到关于“UFO”的报道，UFO是指？,1^联邦调查局$2^航空母舰$3^不明飞行物,20,3
76,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北极的气温比南极的气温？,1^高$2^低$3^一样,20,1
77,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,与木兰辞并称乐府双璧的是？,1^《蒹葭》$2^《孔雀东南飞》$3^《诗经》,20,2
78,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,不属于属于四大名著的是？,1^《西游记》$2^《红楼梦》$3^《西厢记》,20,3
79,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北极没有企鹅是因为？,1^人多$2^捕猎$3^气候,20,2
80,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北极星处于天空中的？,1^小熊星座$2^狮子座$3^白羊座,20,1
81,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北京的故宫是哪个朝代的皇宫？,1^西汉$2^明清$3^唐代,20,2
82,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北京大钟寺，苏州寒山寺，每逢除夕之夜要鸣钟多少下？,1^49下$2^81下$3^108下,20,3
83,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北京等地四合院的大门一般是开在哪个角上？,1^东南角$2^西北角$3^东北角,20,1
84,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,北京圆明园由三园构成，分别是圆明、长春，还有一个叫做什么？,1^富春$2^万春$3^立春,20,2
85,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,成语“碧落黄泉”中“黄泉”是指？,1^地府$2^溪水$3^瀑布,20,1
86,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,古代成语中“不分皂白”中的皂什么颜色？？,1^黑色$2^白色$3^绿色,20,1
87,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,柳公权是哪个朝代人？,1^西周$2^汉朝$3^唐朝,20,3
88,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“乞巧节”指的是农历？,1^八月十五$2^七月初七$3^腊月初八,20,2
89,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,古时用“十二生肖”对应十二地支，其中与“辰”对应的是？,1^鼠$2^蛇$3^龙,20,3
90,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为荷月的月份是？,1^四月$2^七月$3^六月,20,3
91,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“仲夏”在古代时令中是指农历几月？,1^三月$2^四月$3^五月,20,3
92,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,下列哪个是四书五经中的“五经”？,1^战国$2^春秋$3^风雨,20,2
93,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为“三苏”的北宋文学家父子中的父亲是？,1^苏澈$2^苏轼$3^苏洵,20,3
94,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为菊月的月份是？,1^九月$2^十月$3^十一月,20,1
95,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,杜康是哪个朝代的人？,1^夏朝$2^商朝$3^周朝,20,1
96,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为“诗圣”的唐代诗人是？,1^李白$2^辛弃疾$3^杜甫,20,3
97,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为“世界第八奇观”的是？,1^金字塔$2^兵马俑$3^长城,20,3
98,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为“万物之园”的是？,1^圆明园$2^大观园$3^颐和园,20,1
99,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为我国最大的古典艺术宝库的石窟是哪一个？,1^龙门石窟$2^云冈石窟$3^敦煌莫高窟,20,2
100,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为“书圣”的古代书法家为？,1^丰子恺$2^徐悲鸿$3^王羲之,20,3
101,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为我国“瓷都”的是指哪一城市？,1^景德镇$2^忙宁镇$3^佛山镇,20,1
102,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,活字印刷技术发明人是？,1^毕昇$2^祖冲之$3^王充,20,1
103,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为杏月的月份是？,1^二月$2^三月$3^六月,20,1
104,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,中国古代人们所说的“元旦”是指哪一天？,1^1月1日$2^二月初二$3^八月十五,20,1
105,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,古人发明的一咱工具“耒耜”（读leisi）用在哪个行业？,1^工业$2^农业$3^商业,20,2
106,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被称为“液体面包”的是？,1^果酒$2^啤酒$3^红酒,20,2
107,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,佛教起源于何地？,1^天竺$2^杭州$3^新加坡,20,1
108,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,佛曰：“救人一命，胜造七级浮屠。”其中浮屠的意思指的是？,1^盘子$2^佛珠$3^宝塔,20,3
109,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被公认为体育运动和健美体魄象征的雕像是？,1^自由女神像$2^思考者$3^掷铁饼者,20,3
110,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被蜜蜂蜇伤后局部可用5%-20%的什么湿敷？,1^碘酒$2^牙膏$3^小苏打,20,3
111,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被人们称作“梦幻工厂”的是？,1^迪士尼$2^google$3^好莱坞,20,3
112,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被国内外人士誉为“中国三大国粹”的是京剧、国画和？,1^饺子$2^太极拳$3^中医,20,3
113,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,古人所称的“拙荆”是指？,1^小妾$2^女儿$3^妻子,20,3
114,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被莎士比亚赞美为“天堂的苹果”的水果是？,1^香蕉$2^火龙果$3^榴莲,20,1
115,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,被誉为“钢琴之王”的作曲家是？,1^莫扎特$2^贝多芬$3^李斯特,20,2
116,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,在古代，下列哪个词语中用来称呼对方妻子？,1^老婆$2^太太$3^令阃,20,3
117,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,比利时著名的“撒尿小孩”铜雕，平时他尿的是自来水，那狂欢节他尿的是什么？,1^果汁$2^牛奶$3^啤酒,20,3
118,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“五台山”是中国佛教四大名山之一，它位于哪个省？,1^陕西$2^陕西$3^山东,20,2
119,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,比长江还要长的河是？,1^密西西比河$2^亚马逊河$3^黑河,20,2
120,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,道教创始于哪个时代？,1^三国$2^商朝$3^东汉,20,3
121,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“碧螺春”是一种？,1^乌龙茶$2^绿茶$3^减肥茶,20,2
122,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,古代“敦煌艺术”源于中国哪个教派？,1^道教$2^佛教$3^儒教,20,2
123,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,避雷针的发明者是？,1^富兰克林$2^爱迪生$3^贝克汉姆,20,1
124,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,佛教所称“圆寂”是指？,1^佛门中人去世$2^修行$3^练武,20,1
125,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,毕升发明活字印刷比欧洲早了多少年？,1^100年$2^200年$3^400年,20,3
126,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《三国演义》中的“卧龙”是？,1^赵云$2^诸葛亮$3^夏侯渊,20,2
127,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,孝文帝拓拔宏属于以下哪个民族？,1^鲜卑族$2^羌族$3^赫哲族,20,1
128,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,战国时期哪个国家使用铲型币？,1^齐国$2^楚国$3^赵国,20,3
129,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,标准工作日即每日工作8小时，这适用于个体工商户吗？,1^不适用$2^适用$3^视情况而定,20,2
130,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,南宋都城临安.是现今何处?,1^南京$2^开封$3^杭州,20,3
131,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,唐朝高等学府是？,1^太医院$2^国子监$3^漱芳斋,20,2
132,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“不鸣则已，一鸣惊人”这句成语源自于谁的典故？,1^楚庄王$2^齐桓公$3^秦始皇,20,1
133,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,三国时期马谡曾在街亭一战败给哪位魏国大将？,1^张飞$2^张郃$3^刘备,20,2
134,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,唐太宗李世民的年号是？,1^安史$2^贞观$3^武德,20,2
135,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,春秋战国时期诸子百家不包括？,1^儒家$2^道家$3^佛教,20,3
136,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,传说每年平安夜晚圣诞老天让你送礼物时候乘坐的雪橇是什么动物拉的？,1^狗$2^驯鹿$3^宝马,20,2
