key,afterItemId,money,needItems,needNum
12500480,12500440,80000,13070030$13070031,8
12500481,12500441,80000,13070030$13070031,8
12800881,12800841,200000,13070060$13070061,8
12350980,12350940,40000,13070020$13070021,8
12350981,12350941,40000,13070020$13070021,8
12350581,12350541,40000,13070020$13070021,8
12700780,12700740,160000,13070050$13070051,8
12700680,12700640,160000,13070050$13070051,8
12700681,12700641,160000,13070050$13070051,8
12600580,12600540,120000,13070040$13070041,8
12600581,12600541,120000,13070040$13070041,8
12800381,12800341,200000,13070060$13070061,8
12350580,12350540,40000,13070020$13070021,8
12350480,12350440,40000,13070020$13070021,8
12350481,12350441,40000,13070020$13070021,8
12600980,12600940,120000,13070040$13070041,8
12600981,12600941,120000,13070040$13070041,8
12800380,12800340,200000,13070060$13070061,8
12500880,12500840,80000,13070030$13070031,8
12500881,12500841,80000,13070030$13070031,8
12500380,12500340,80000,13070030$13070031,8
12500381,12500341,80000,13070030$13070031,8
12800781,12800741,200000,13070060$13070061,8
12350880,12350840,40000,13070020$13070021,8
12350881,12350841,40000,13070020$13070021,8
12700580,12700540,160000,13070050$13070051,8
12700180,12700140,160000,13070050$13070051,8
12700181,12700141,160000,13070050$13070051,8
12800780,12800740,200000,13070060$13070061,8
12600480,12600440,120000,13070040$13070041,8
12600481,12600441,120000,13070040$13070041,8
12800281,12800241,200000,13070060$13070061,8
12500780,12500740,80000,13070030$13070031,8
12350381,12350341,40000,13070020$13070021,8
12600880,12600840,120000,13070040$13070041,8
12600881,12600841,120000,13070040$13070041,8
12800280,12800240,200000,13070060$13070061,8
12350380,12350340,40000,13070020$13070021,8
12500781,12500741,80000,13070030$13070031,8
12700581,12700541,160000,13070050$13070051,8
12500280,12500240,80000,13070030$13070031,8
12500281,12500241,80000,13070030$13070031,8
12800681,12800641,200000,13070060$13070061,8
12600380,12600340,120000,13070040$13070041,8
12600381,12600341,120000,13070040$13070041,8
12700480,12700440,160000,13070050$13070051,8
12700481,12700441,160000,13070050$13070051,8
12800680,12800640,200000,13070060$13070061,8
12350780,12350740,40000,13070020$13070021,8
12350781,12350741,40000,13070020$13070021,8
12700981,12700941,160000,13070050$13070051,8
12350280,12350240,40000,13070020$13070021,8
12350281,12350241,40000,13070020$13070021,8
12600780,12600740,120000,13070040$13070041,8
12600781,12600741,120000,13070040$13070041,8
12700980,12700940,160000,13070050$13070051,8
12500680,12500640,80000,13070030$13070031,8
12500681,12500641,80000,13070030$13070031,8
12500180,12500140,80000,13070030$13070031,8
12500181,12500141,80000,13070030$13070031,8
12800581,12800541,200000,13070060$13070061,8
12350680,12350640,40000,13070020$13070021,8
12350681,12350641,40000,13070020$13070021,8
12800180,12800140,200000,13070060$13070061,8
12800181,12800141,200000,13070060$13070061,8
12700380,12700340,160000,13070050$13070051,8
12700381,12700341,160000,13070050$13070051,8
12800580,12800540,200000,13070060$13070061,8
12600280,12600240,120000,13070040$13070041,8
12600281,12600241,120000,13070040$13070041,8
12700881,12700841,160000,13070050$13070051,8
12350180,12350140,40000,13070020$13070021,8
12350181,12350141,40000,13070020$13070021,8
12800981,12800941,200000,13070060$13070061,8
12600680,12600640,120000,13070040$13070041,8
12600681,12600641,120000,13070040$13070041,8
12700880,12700840,160000,13070050$13070051,8
12500580,12500540,80000,13070030$13070031,8
12500581,12500541,80000,13070030$13070031,8
12800980,12800940,200000,13070060$13070061,8
12800880,12800840,200000,13070060$13070061,8
12800480,12800440,200000,13070060$13070061,8
12800481,12800441,200000,13070060$13070061,8
12500980,12500940,80000,13070030$13070031,8
12500981,12500941,80000,13070030$13070031,8
12700280,12700240,160000,13070050$13070051,8
12700281,12700241,160000,13070050$13070051,8
12600180,12600140,120000,13070040$13070041,8
12600181,12600141,120000,13070040$13070041,8
12700781,12700741,160000,13070050$13070051,8