key,attr,limit_level,money,name,rate,soulpower
512,闪避+84,45,2600,淬天宗穴,42,33000
513,闪避+96,45,3300,淬气海穴,40,44000
514,闪避+108,50,4400,淬太冲穴,39,58000
515,闪避+120,50,5700,淬九命穴,38,69000
516,闪避+134,50,7400,淬天龙穴,37,85000
517,闪避+148,50,9900,淬地皇穴,36,110000
518,闪避+162,55,12300,淬人劫穴,35,132000
519,闪避+178,55,14400,淬景都穴,32,153000
520,闪避+194,55,16900,淬百位穴,30,179000
521,闪避+210,55,17200,淬通神穴,25,184000
11,攻击+6,38,100,强肌,100,3000
12,攻击+12,39,200,壮膜,90,5000
13,攻击+18,40,300,易筋,80,7000
14,攻击+26,41,500,伐毛,70,9000
15,攻击+34,41,800,锻骨,65,13000
16,攻击+42,42,1100,洗髓,60,14000
17,攻击+52,42,1200,换血,55,15000
18,攻击+62,43,1300,锤炼脏腑,50,16000
19,攻击+72,43,1500,炼精化气,48,19000
21,防御+4,38,100,力魄筑基,100,3000
22,防御+8,39,200,力魄小成,90,5000
23,防御+12,40,300,力魄圆满,80,7000
24,防御+18,41,500,气魄筑基,70,9000
25,防御+24,41,800,气魄小成,65,13000
26,防御+30,42,1100,气魄圆满,60,14000
27,防御+38,42,1200,精魄筑基,55,15000
28,防御+46,43,1300,精魄小成,50,16000
29,防御+54,43,1500,精魄圆满,48,19000
31,生命+30,38,100,赤色天魂,100,3000
32,生命+60,39,200,橙色天魂,90,5000
33,生命+90,40,300,黄色天魂,80,7000
34,生命+130,41,500,绿色天魂,70,9000
35,生命+170,41,800,青色天魂,65,13000
36,生命+210,42,1100,蓝色天魂,60,14000
37,生命+260,42,1200,紫色天魂,55,15000
38,生命+310,43,1300,赤色地魂,50,16000
39,生命+360,43,1500,橙色地魂,48,19000
41,命中+4,38,100,锻天聪窍,100,3000
42,命中+8,39,200,锻天明窍,90,5000
43,命中+12,40,300,锻天景窍,80,7000
44,命中+18,41,500,锻天龙窍,70,9000
45,命中+24,41,800,锻天聂窍,65,13000
46,命中+30,42,1100,锻天闻窍,60,14000
47,命中+38,42,1200,锻天慧窍,55,15000
48,命中+46,43,1300,锻地皇窍,50,16000
49,命中+54,43,1500,锻地变窍,48,19000
810,韧性+64,45,2000,太横天,46,24000
51,闪避+4,38,100,淬百里穴,100,3000
52,闪避+8,39,200,淬尺泽穴,90,5000
53,闪避+12,40,300,淬合谷穴,80,7000
310,生命+420,45,2000,黄色地魂,46,24000
311,生命+480,45,2300,绿色地魂,44,29000
312,生命+540,45,2600,青色地魂,42,33000
313,生命+610,45,3300,蓝色地魂,40,44000
314,生命+680,50,4400,紫色地魂,39,58000
315,生命+750,50,5700,赤色命魂,38,69000
316,生命+830,50,7400,橙色命魂,37,85000
317,生命+910,50,9900,黄色命魂,36,110000
318,生命+990,55,12300,绿色命魂,35,132000
319,生命+1080,55,14400,青色命魂,32,153000
320,生命+1170,55,16900,蓝色命魂,30,179000
321,生命+1260,55,17200,紫色命魂,25,184000
58,闪避+46,43,1300,淬印堂穴,50,16000
59,闪避+54,43,1500,淬孔最穴,48,19000
68,暴击+46,43,1300,灭爱憎心,50,16000
61,暴击+4,38,100,斩贪念,100,3000
62,暴击+8,39,200,斩嗔念,90,5000
54,闪避+18,41,500,淬命门穴,70,9000
55,闪避+24,41,800,淬太渊穴,65,13000
56,闪避+30,42,1100,淬天枢穴,60,14000
57,闪避+38,42,1200,淬昆仑穴,55,15000
67,暴击+38,42,1200,斩怨念,55,15000
76,暴伤+30,42,1100,渡铜柱桥,60,14000
69,暴击+54,43,1500,灭悲喜心,48,19000
78,暴伤+46,43,1300,渡冰山桥,50,16000
71,暴伤+4,38,100,渡把舌桥,100,3000
63,暴击+12,40,300,斩妄念,80,7000
64,暴击+18,41,500,斩欲念,70,9000
65,暴击+24,41,800,斩执念,65,13000
66,暴击+30,42,1100,斩魔念,60,14000
84,韧性+18,41,500,太杀天,70,9000
77,暴伤+38,42,1200,渡刀山桥,55,15000
86,韧性+30,42,1100,太云天,60,14000
79,暴伤+54,43,1500,渡油锅桥,48,19000
88,韧性+46,43,1300,太苍天,50,16000
72,暴伤+8,39,200,渡剪刀桥,90,5000
73,暴伤+12,40,300,渡铁树桥,80,7000
74,暴伤+18,41,500,渡孽镜桥,70,9000
75,暴伤+24,41,800,渡蒸笼桥,65,13000
85,韧性+24,41,800,太情天,65,13000
812,韧性+84,45,2600,太古天,42,33000
87,韧性+38,42,1200,太青天,55,15000
814,韧性+108,50,4400,太幽天,39,58000
89,韧性+54,43,1500,太武天,48,19000
610,暴击+64,45,2000,灭是非心,46,24000
611,暴击+74,45,2300,灭功利心,44,29000
612,暴击+84,45,2600,灭正邪心,42,33000
613,暴击+96,45,3300,灭善恶心,40,44000
614,暴击+108,50,4400,灭生死心,39,58000
615,暴击+120,50,5700,渡迷雾海,38,69000
616,暴击+134,50,7400,渡幻忆海,37,85000
617,暴击+148,50,9900,渡群魔海,36,110000
618,暴击+162,55,12300,渡情欲海,35,132000
619,暴击+178,55,14400,渡厄难海,32,153000
620,暴击+194,55,16900,渡血冥海,30,179000
621,暴击+210,55,17200,渡黄泉海,25,184000
110,攻击+84,45,2000,真气初成,46,24000
111,攻击+96,45,2300,真气成漩,44,29000
112,攻击+108,45,2600,真气液化,42,33000
113,攻击+122,45,3300,通任脉,40,44000
114,攻击+136,50,4400,通督脉,39,58000
115,攻击+150,50,5700,通冲脉,38,69000
116,攻击+166,50,7400,通带脉,37,85000
117,攻击+182,50,9900,通阴维脉,36,110000
118,攻击+198,55,12300,通阳维脉,35,132000
119,攻击+216,55,14400,通阴跷脉,32,153000
120,攻击+234,55,16900,通阳跷脉,30,179000
121,攻击+252,55,17200,先天大成,25,184000
813,韧性+96,45,3300,太霸天,40,44000
815,韧性+120,50,5700,太冥天,38,69000
816,韧性+134,50,7400,太洪天,37,85000
817,韧性+148,50,9900,太龙天,36,110000
818,韧性+162,55,12300,太道天,35,132000
819,韧性+178,55,14400,太上天,32,153000
820,韧性+194,55,16900,太皇天,30,179000
821,韧性+210,55,17200,太祖天,25,184000
81,韧性+4,38,100,太一天,100,3000
82,韧性+8,39,200,太水天,90,5000
83,韧性+12,40,300,太火天,80,7000
811,韧性+74,45,2300,太神天,44,29000
410,命中+64,45,2000,锻地动窍,46,24000
411,命中+74,45,2300,锻地源窍,44,29000
412,命中+84,45,2600,锻地玄窍,42,33000
413,命中+96,45,3300,锻地极窍,40,44000
414,命中+108,50,4400,锻地贯窍,39,58000
415,命中+120,50,5700,锻命魄窍,38,69000
416,命中+134,50,7400,锻命精窍,37,85000
417,命中+148,50,9900,锻命景窍,36,110000
418,命中+162,55,12300,锻命宿窍,35,132000
419,命中+178,55,14400,锻命运窍,32,153000
420,命中+194,55,16900,锻命永窍,30,179000
421,命中+210,55,17200,锻命浩窍,25,184000
710,暴伤+64,45,2000,渡牛坑桥,46,24000
711,暴伤+74,45,2300,渡石压桥,44,29000
712,暴伤+84,45,2600,渡舂臼桥,42,33000
713,暴伤+96,45,3300,渡血池桥,40,44000
714,暴伤+108,50,4400,渡枉死桥,39,58000
715,暴伤+120,50,5700,渡磔刑桥,38,69000
716,暴伤+134,50,7400,渡火山桥,37,85000
717,暴伤+148,50,9900,渡石磨桥,36,110000
718,暴伤+162,55,12300,渡刀锯桥,35,132000
719,暴伤+178,55,14400,渡剥皮桥,32,153000
720,暴伤+194,55,16900,渡阿鼻桥,30,179000
721,暴伤+210,55,17200,渡奈何桥,25,184000
210,防御+64,45,2000,英魄筑基,46,24000
211,防御+74,45,2300,英魄小成,44,29000
212,防御+84,45,2600,英魄圆满,42,33000
213,防御+96,45,3300,中枢筑基,40,44000
214,防御+108,50,4400,中枢小成,39,58000
215,防御+120,50,5700,中枢圆满,38,69000
216,防御+134,50,7400,灵慧筑基,37,85000
217,防御+148,50,9900,灵慧小成,36,110000
218,防御+162,55,12300,灵慧圆满,35,132000
219,防御+178,55,14400,天冲筑基,32,153000
220,防御+194,55,16900,天冲小成,30,179000
221,防御+210,55,17200,天冲圆满,25,184000
510,闪避+64,45,2000,淬阳池穴,46,24000
511,闪避+74,45,2300,淬阴谷穴,44,29000